time,flux,e_flux
1391.4705216401244,10383.824,13.807253
1391.4788551507677,10401.366,13.819649
1391.487188661411,10355.829,13.7981
1391.4955221720545,10426.652,13.831596
1391.5038556826971,10351.896,13.787045
1391.512189192874,10360.381,13.806529
1391.520522703052,10345.875,13.793071
1391.5288562132296,10364.657,13.795046
1391.5371897234065,10352.8,13.794983
1391.5455232331185,10364.658,13.799776
1391.5552456614253,10345.615,13.785035
1391.5635791711372,10329.134,13.784417
1391.5719126808485,10386.534,13.802345
1391.5802461905605,10339.61,13.782152
1391.5885796998068,10373.431,13.793228
1391.596913209052,10359.6875,13.805222
1391.605246718764,10364.109,13.795924
1391.613580227544,10362.959,13.796686
1391.6219137367902,10340.391,13.785154
1391.6302472455711,10332.656,13.778661
1391.638580754816,10351.998,13.781953
1391.6469142635967,10311.439,13.768414
1391.655247771912,10312.203,13.775613
1391.6635812806926,10302.337,13.766626
1391.6719147890076,10299.3,13.761254
1391.680248297322,10298.634,13.769034
1391.6885818056362,10299.926,13.760883
1391.6969153139507,10297.803,13.756655
1391.7052488222657,10302.625,13.767121
1391.713582330115,10274.212,13.760002
1391.7219158379644,10276.988,13.752679
1391.7302493458124,10256.9795,13.746142
1391.7385828536612,10274.927,13.755477
1391.746916361045,10259.542,13.742232
1391.7552498688942,10254.342,13.740672
1391.763583376278,10226.493,13.744539
1391.771916883661,10244.621,13.739174
1391.7802503905784,10247.358,13.737777
1391.788583897962,10256.691,13.745539
1391.7969174048803,10212.438,13.7247925
1391.806639829928,10229.523,13.73127
1391.8149733363803,10226.479,13.7306
1391.8260846790913,10200.411,13.723428
1391.8344181855437,10217.207,13.729492
1391.8427516919962,10214.202,13.73074
1391.851085198448,10217.82,13.7212105
1391.860807622565,10213.129,13.724062
1391.869141129016,10227.964,13.732506
1391.8774746350027,10209.786,13.726304
1391.8858081409894,10215.483,13.723193
1391.8941416469756,10222.232,13.724215
1391.9024751529623,10231.602,13.720496
1391.9108086584827,10245.696,13.736388
1391.9191421644687,10223.988,13.725433
1391.9274756699897,10227.093,13.733806
1391.935809175511,10211.579,13.719687
1391.9441426805663,10230.033,13.735998
1391.9524761860873,10238.962,13.735973
1391.9608096911415,10263.049,13.7396145
1391.969143196197,10258.644,13.74351
1391.9774767012516,10379.853,13.806208
1391.985810206307,10307.06,13.760046
1391.9941437113625,10252.601,13.742522
1392.0024772159522,10313.349,13.769493
1392.0108107205406,10271.88,13.74628
1392.0191442251296,10292.889,13.751181
1392.0274777297195,10271.899,13.750947
1392.0358112338436,10308.951,13.771635
1392.0441447384333,10311.026,13.75582
1392.0524782425566,10304.839,13.759724
1392.06081174668,10315.529,13.768658
1392.069145250804,10327.003,13.7702875
1392.0774787544626,10349.701,13.778131
1392.0858122585867,10329.326,13.785702
1392.0941457622444,10354.837,13.782398
1392.1024792659014,10337.425,13.783094
1392.1108127695597,10366.64,13.786781
1392.1191462732183,10335.164,13.779942
1392.127479776411,10377.208,13.802675
1392.135813279603,10376.685,13.799045
1392.1441467827958,10370.537,13.793309
1392.1538692031863,10359.264,13.786928
1392.162202706379,10410.307,13.81301
1392.1705362091063,10360.673,13.803348
1392.1788697118327,10393.956,13.804692
1392.1872032150254,10393.25,13.799668
1392.1955367172868,10404.409,13.810096
1392.2038702200125,10395.861,13.80312
1392.2122037227398,10394.016,13.806083
1392.2205372250012,10406.581,13.80006
1392.230259644461,10415.443,13.813889
1392.2385931467225,10424.43,13.820238
1392.2469266485182,10424.51,13.812468
1392.25803798471,10404.738,13.805981
1392.2677604037049,10426.123,13.817023
1392.2844274072963,10395.305,13.806875
